neighborhood_id,name,dog_friendly,grocery_stores,neighbors_friendly,parking_easy,yard,community_events,sidewalks,walk_night,five_years,kids_outside,car,restaurants,streets,holiday,quiet,wildlife
1,Hills,0.85,0.10,0.75,0.12,0.22,0.35,0.00,0.81,0.57,0.58,0.23,0.34,0.84,0.99,0.36,0.77
2,Downtown,0.49,0.39,0.60,0.04,0.56,0.93,0.51,0.27,0.59,0.18,0.57,0.06,0.55,0.53,0.40,0.54
3,Uptown,0.36,0.14,0.95,0.45,0.31,0.54,0.36,0.42,0.84,0.98,0.13,0.18,0.86,0.54,0.41,0.09
4,Promenade,0.18,0.36,0.42,0.43,0.18,0.75,0.12,0.15,0.12,0.28,0.28,0.81,0.05,0.74,0.19,0.36
5,Financial District,0.53,0.29,0.64,0.66,0.81,0.39,0.06,0.64,0.86,0.70,0.77,0.56,0.43,0.12,0.04,0.00
6,OceanView,0.10,0.14,0.50,0.82,0.74,0.07,0.94,0.47,0.96,0.83,0.40,0.94,0.67,0.14,0.58,0.62
7,Oceanside,0.86,0.83,0.33,0.10,0.23,0.40,0.60,0.23,0.77,0.42,0.63,0.87,0.64,0.17,0.54,0.13
8,Soma,0.65,0.37,0.28,0.85,0.34,0.74,0.15,0.82,0.18,0.80,0.77,0.92,0.84,0.40,0.31,0.55
9,Western Addition,0.72,0.59,0.13,0.88,0.55,0.87,0.46,0.58,0.87,0.95,0.37,0.23,0.80,0.12,0.20,0.02
10,Chinatown,0.21,0.42,0.72,0.43,0.45,0.66,0.39,0.87,0.69,0.76,0.47,0.03,0.12,0.10,0.29,0.32
