review_id,user_id,neighborhood_id,review_date,review_text,likes,community,commute
1,50,1,12/12/2018,Magna fugiat aute et eiusmod sunt deserunt cillum aute voluptate ipsum. Quis deserunt ex adipisicing consequat exercitation mollit do veniam eiusmod adipisicing. Ullamco velit amet culpa proident consequat pariatur in excepteur pariatur elit eiusmod. Sunt deserunt incididunt aliquip consequat est cupidatat ea consequat fugiat.,58, false,true
2,34,5,3/4/2020,Adipisicing consectetur ex deserunt pariatur. Quis magna exercitation Lorem occaecat eu dolor ex non aliqua incididunt cillum.,107, true,true
3,9,8,12/21/2019,Ad nisi ipsum ut adipisicing amet ea mollit duis amet officia nulla esse exercitation cillum in. Tempor in dolor culpa ipsum dolor esse consequat aliquip nulla id mollit velit.,52, false,false
4,11,9,8/31/2016,Mollit ullamco velit reprehenderit do incididunt et laboris in dolor Lorem ea id officia minim. Magna velit laboris elit quis. In eu consectetur id minim eu aute et eiusmod do non. Voluptate veniam nostrud dolore occaecat.,56, false,true
5,41,8,8/26/2017,Voluptate ullamco tempor anim labore in ex deserunt ea ullamco non nisi. Voluptate esse adipisicing voluptate deserunt anim mollit duis magna elit in aute.,103, true,false
6,38,9,12/15/2018,Et elit laborum commodo sint aute culpa in dolor et ipsum esse laboris deserunt fugiat ut. Mollit Lorem sit voluptate commodo officia culpa sit adipisicing fugiat tempor Lorem velit. Sit officia veniam laborum.,76, false,false
7,21,4,4/4/2016,Cillum eu quis pariatur aute sunt aute adipisicing in sint tempor. Ad qui nostrud culpa quis tempor reprehenderit nisi elit tempor pariatur eu sint ut sit consequat.,65, false,false
8,42,8,7/22/2019,Ut occaecat amet magna adipisicing incididunt. Eu anim in elit nostrud irure ipsum magna. Sit amet mollit magna aliquip Lorem duis ut nulla aliquip ullamco sunt.,24, true,false
9,22,1,5/5/2019,Mollit consequat do sint et fugiat occaecat incididunt minim. Aliqua sunt ad proident in voluptate.,41, true,true
10,14,9,12/29/2018,Anim dolor cupidatat tempor labore aliqua sunt laboris occaecat laboris aliqua esse commodo nostrud. Sint sunt pariatur dolor eiusmod sunt duis aliquip aute exercitation exercitation sint id ad minim. Pariatur minim aute fugiat nisi. Adipisicing aliquip labore esse excepteur et labore nostrud sint et exercitation sunt irure.,28, false,false
11,33,6,11/27/2016,Tempor magna magna Lorem nisi amet anim. Eu ex esse et aliquip.,94, true,true
12,27,9,9/15/2020,Cillum nisi labore cupidatat anim fugiat elit eu culpa labore voluptate exercitation adipisicing adipisicing cupidatat occaecat. Ut adipisicing eiusmod voluptate nisi ea irure reprehenderit Lorem voluptate ipsum. Enim Lorem cillum id irure fugiat duis nisi cupidatat.,55, false,true
13,33,2,1/23/2018,Cillum duis laboris magna nulla. Deserunt consequat consectetur consequat est commodo cupidatat excepteur labore aliquip in deserunt labore pariatur. Consequat tempor velit do Lorem aliqua.,147, true,false
14,9,8,2/24/2019,Labore proident incididunt ut commodo deserunt deserunt dolore elit nulla exercitation. Quis nisi reprehenderit proident labore id velit enim.,132, false,false
15,11,2,11/17/2018,Excepteur amet mollit minim ullamco cillum. Adipisicing mollit consectetur quis aliqua et aliqua laboris in. Officia incididunt elit minim et labore sint ipsum nulla amet veniam.,128, false,true
16,7,9,3/25/2015,Elit et amet pariatur anim officia amet aute amet dolor ullamco minim. Fugiat reprehenderit pariatur cillum excepteur non pariatur amet laborum dolor proident ipsum minim culpa qui.,123, true,true
17,39,9,1/18/2017,Ullamco ullamco elit Lorem voluptate nisi elit sint fugiat dolore laboris irure incididunt. Anim ullamco cupidatat dolor consectetur voluptate ipsum reprehenderit exercitation. Ea ipsum veniam et elit consequat elit ullamco nostrud aliqua veniam pariatur voluptate labore. Minim et mollit tempor cupidatat est minim culpa.,123, true,true
18,16,10,12/17/2017,Veniam fugiat tempor officia qui elit elit elit esse. Aliqua ex aliqua dolor nisi eiusmod incididunt cupidatat aliqua sunt dolore voluptate ex ea. Adipisicing Lorem pariatur eiusmod et.,106, false,true
19,12,9,12/7/2017,Enim duis anim eu dolor irure ea dolore do incididunt proident ex. Velit cupidatat Lorem et minim culpa velit enim occaecat nulla et labore mollit commodo ea.,74, true,false
20,19,1,2/17/2016,Ullamco commodo qui id deserunt. Magna nulla reprehenderit proident. Ea ea eu ex ut deserunt consequat dolor aute veniam. Nisi eu culpa aute qui est cillum mollit esse irure culpa.,105, true,true
21,40,2,9/3/2020,Sint mollit est quis est culpa mollit aliquip cillum culpa est minim Lorem exercitation id consequat. Et est aute culpa aliqua consequat id nisi fugiat ut consequat eiusmod ipsum nisi occaecat. Velit cillum nisi commodo consequat excepteur officia ea sunt tempor adipisicing consequat non et officia. Esse nostrud culpa laborum ex sint cillum duis aliquip do id.,142, true,true
22,25,5,1/25/2016,Tempor dolor mollit consectetur anim laboris esse. Ex velit deserunt elit in esse do qui aliqua nisi excepteur cillum aute est incididunt anim. Non eiusmod magna cillum mollit consectetur consectetur ullamco. Commodo occaecat proident id duis deserunt tempor veniam incididunt cillum dolore exercitation ad ea reprehenderit enim.,137, true,false
23,3,6,5/11/2015,Qui nulla fugiat exercitation. Nostrud qui ipsum eiusmod quis sit occaecat consectetur exercitation.,64, false,true
24,45,1,9/1/2019,Est cupidatat Lorem ipsum anim amet quis. Sit aute sit commodo ullamco velit laboris ullamco elit quis excepteur irure anim cillum.,67, true,true
25,31,6,8/4/2015,Eiusmod eu sint cupidatat laboris quis fugiat labore id nostrud dolor amet officia ut. Incididunt cupidatat aliqua ut sint magna nulla nulla proident. Ex pariatur pariatur laborum consequat dolor fugiat. Aute amet et voluptate consequat adipisicing aliquip amet non est duis.,2, true,false
26,9,4,3/29/2017,Consequat nisi commodo aliquip veniam dolore ipsum adipisicing Lorem irure aliquip do. Nisi consequat mollit duis reprehenderit. Quis id do quis qui dolore. Cupidatat exercitation Lorem veniam.,68, true,true
27,39,9,1/9/2017,Nulla sunt fugiat ad amet magna minim ipsum officia labore aliquip mollit duis. Ex anim anim Lorem eiusmod dolore aliqua cupidatat nulla deserunt incididunt officia commodo in ex. Ex eu culpa eu et incididunt non ullamco.,59, true,false
28,30,2,7/14/2018,Est eu quis et commodo officia proident quis excepteur amet magna aute incididunt deserunt exercitation. Deserunt quis laborum officia laborum cillum tempor cupidatat et anim adipisicing proident excepteur ex anim. Laborum commodo sunt proident Lorem do anim mollit nisi ipsum consequat et nostrud consectetur.,87, true,false
29,13,5,5/13/2018,Sint officia dolore reprehenderit quis mollit non ut ex ullamco. Eiusmod exercitation labore eu ad magna elit. Adipisicing commodo est deserunt ad culpa sit non velit dolor id. Esse in duis officia Lorem adipisicing aliqua esse velit occaecat nulla irure exercitation.,50, false,false
30,49,4,9/19/2018,Duis occaecat anim dolore fugiat sit sit culpa amet labore esse proident et elit nisi. Amet cupidatat exercitation culpa eiusmod quis fugiat tempor cillum elit voluptate amet sit. Proident duis do proident laborum Lorem laborum officia incididunt nisi minim cillum est ad sit nostrud.,100, false,true
31,46,7,8/5/2015,Consectetur enim esse aute nostrud. Nisi non culpa proident nisi eiusmod. Pariatur mollit aliqua ex officia commodo veniam consequat quis.,32, false,false
32,47,1,5/11/2018,In ipsum magna dolore culpa eu duis nulla ad sint ea nostrud Lorem ex fugiat. Consequat reprehenderit id non tempor dolor.,81, true,false
33,38,4,5/29/2018,Anim do ullamco cillum do nisi dolore deserunt aliquip enim aute cupidatat duis officia aute. Consectetur ex cupidatat sint non sint sunt aute duis ad incididunt cupidatat sunt cillum occaecat exercitation. Aliquip id culpa sint laboris dolore laboris deserunt minim anim eu elit. Sunt elit esse nulla.,134, true,false
34,41,9,8/3/2017,Est nulla cupidatat duis cupidatat veniam exercitation ullamco laboris magna nostrud pariatur sit ea nulla. Non ad sunt cupidatat magna commodo laborum elit incididunt cillum dolore id incididunt. Sint eu ipsum ut exercitation exercitation qui velit deserunt sit ad do.,42, false,true
35,25,4,2/25/2017,Cupidatat qui consequat nisi amet qui labore elit. Eu anim sint mollit irure irure cupidatat minim non ut id et commodo labore nisi. Nisi dolor est labore magna elit reprehenderit officia dolore incididunt nulla quis. Non ullamco duis consequat ipsum.,11, true,true
36,32,1,9/30/2016,Magna officia commodo velit est officia in in ex anim duis non nisi sint tempor dolor. Cupidatat tempor consectetur cillum.,75, false,false
37,22,5,7/17/2019,Culpa tempor elit reprehenderit nisi veniam elit irure tempor nostrud tempor. Occaecat et labore proident aliqua officia sint. Nostrud Lorem amet sint laborum proident. Sit culpa reprehenderit magna ad qui esse aute laborum aliqua eiusmod sint deserunt ipsum excepteur.,88, true,false
38,7,6,8/2/2015,Exercitation cillum cillum consequat nisi incididunt elit eu cillum nisi occaecat aliqua mollit. Nulla incididunt magna dolor exercitation tempor sit qui nisi officia proident consequat dolore. Adipisicing qui laboris minim non proident fugiat aliqua eu officia exercitation ex exercitation commodo consectetur pariatur.,41, false,false
39,6,5,8/19/2019,Excepteur ullamco enim proident ullamco sint. Minim enim ullamco duis laborum aliquip nostrud labore aliquip pariatur elit. Incididunt ad consectetur in.,122, false,true
40,17,8,6/12/2019,Elit duis eu consectetur fugiat labore voluptate dolor anim minim consequat ut. Aliqua excepteur consectetur ex anim ex tempor cillum officia aute est sint est qui aliqua. Labore Lorem nulla sunt.,54, false,false
41,39,10,8/20/2018,Do adipisicing non nulla ad sit fugiat et excepteur id pariatur nulla. Eiusmod mollit est laborum ad. Ut labore culpa ad.,42, true,true
42,13,7,3/7/2020,Dolor elit Lorem quis laborum. Officia anim ut reprehenderit irure eiusmod dolore nostrud magna pariatur cillum ad deserunt irure.,93, true,true
43,22,4,2/7/2020,Ea in sunt sunt officia cillum laboris ad laborum. Aliquip Lorem esse laboris amet labore.,89, false,true
44,20,9,11/11/2016,Quis amet occaecat reprehenderit cillum eu ex cillum qui velit. Id laborum ut non laboris tempor laborum non aute adipisicing in est. Mollit amet culpa pariatur id ullamco velit consectetur nisi occaecat id mollit voluptate consectetur laborum. Ipsum adipisicing quis do officia esse anim cupidatat veniam veniam nostrud labore veniam nulla proident adipisicing.,79, false,false
45,15,4,11/2/2015,Magna laboris nisi veniam qui dolore. Ipsum in magna mollit proident adipisicing ipsum esse.,67, true,false
46,3,4,10/3/2016,Esse nulla culpa dolore minim dolore nulla excepteur. Ut in id enim incididunt deserunt. Ad minim quis id elit cupidatat sunt aliqua sunt. Officia excepteur minim laborum est mollit proident.,31, false,false
47,42,2,11/17/2015,Lorem excepteur est nulla in duis ullamco velit do nostrud est ut aute. Laborum tempor duis anim est. Anim aliqua laborum amet ut dolor ex do ea. Labore deserunt magna deserunt incididunt voluptate eu fugiat nulla.,8, false,true
48,48,1,11/17/2016,Esse aliquip voluptate minim. Amet esse pariatur mollit exercitation sint laborum sint elit et est anim quis commodo esse cillum. Consectetur et qui irure deserunt tempor tempor veniam anim. Fugiat aute sint dolor sunt.,70, true,true
49,4,8,6/6/2015,Amet aliqua qui magna nostrud velit amet dolore officia commodo ad aliquip excepteur quis velit. Commodo ex id sit dolor duis tempor. Voluptate laborum ut id incididunt enim duis est consequat magna.,8, true,true
50,21,9,12/22/2018,Veniam elit sit commodo voluptate occaecat. Esse magna officia qui dolor Lorem nisi duis culpa.,36, false,true
51,38,7,6/23/2020,Magna incididunt qui exercitation est est excepteur. Exercitation elit ullamco anim anim in enim laboris fugiat.,88, false,false
52,39,3,2/21/2019,Culpa culpa amet do quis sunt. Incididunt pariatur deserunt aute et esse pariatur nostrud veniam nisi pariatur. Non ex ad anim aliquip adipisicing duis ipsum sit cillum est aliqua non sit quis labore.,98, false,false
