listing_id,neighborhood_id
1,42
2,731
3,70
4,360
5,666
6,649
7,200
8,866
9,964
10,669
11,910
12,730
13,831
14,1000
15,829
16,952
17,760
18,506
19,947
20,127
21,456
22,191
23,535
24,211
25,37
26,618
27,19
28,631
29,463
30,625
31,270
32,935
33,496
34,436
35,93
36,566
37,523
38,990
39,582
40,728
41,111
42,798
43,943
44,315
45,600
46,969
47,104
48,42
49,955
50,894
51,927
52,131
53,283
54,411
55,534
56,771
57,604
58,642
59,568
60,694
61,378
62,977
63,98
64,922
65,531
66,54
67,982
68,769
69,418
70,135
71,256
72,727
73,250
74,463
75,61
76,766
77,327
78,509
79,677
80,978
81,148
82,32
83,319
84,167
85,827
86,784
87,36
88,781
89,957
90,424
91,875
92,989
93,823
94,280
95,378
96,104
97,135
98,798
99,381
100,491
101,310
102,655
103,900
104,642
105,71
106,122
107,823
108,212
109,706
110,20
111,361
112,119
113,141
114,365
115,965
116,309
117,750
118,589
119,505
120,799
121,501
122,867
123,899
124,266
125,906
126,491
127,335
128,275
129,772
130,206
131,6
132,178
133,894
134,960
135,375
136,836
137,784
138,43
139,453
140,868
141,767
142,992
143,101
144,478
145,100
146,920
147,2
148,820
149,783
150,768
151,189
152,496
153,828
154,54
155,870
156,221
157,594
158,8
159,194
160,103
161,217
162,795
163,835
164,422
165,241
166,839
167,412
168,220
169,764
170,547
171,294
172,329
173,831
174,313
175,305
176,761
177,819
178,110
179,278
180,146
181,884
182,209
183,502
184,774
185,853
186,459
187,78
188,857
189,897
190,734
191,538
192,944
193,630
194,74
195,296
196,5
197,268
198,538
199,122
200,347
201,370
202,722
203,288
204,916
205,828
206,71
207,972
208,117
209,169
210,597
211,173
212,125
213,109
214,171
215,975
216,556
217,961
218,566
219,881
220,443
221,923
222,300
223,113
224,852
225,1
226,448
227,115
228,734
229,61
230,422
231,783
232,586
233,683
234,233
235,30
236,490
237,562
238,776
239,100
240,536
241,44
242,303
243,76
244,541
245,896
246,441
247,915
248,133
249,511
250,876
251,201
252,612
253,893
254,714
255,907
256,800
257,113
258,875
259,914
260,93
261,303
262,945
263,636
264,723
265,996
266,647
267,566
268,667
269,716
270,955
271,14
272,985
273,81
274,528
275,839
276,899
277,95
278,932
279,804
280,602
281,177
282,948
283,776
284,528
285,525
286,920
287,591
288,113
289,860
290,220
291,579
292,738
293,669
294,697
295,869
296,866
297,678
298,332
299,156
300,13
301,412
302,973
303,976
304,300
305,42
306,300
307,121
308,753
309,743
310,905
311,275
312,691
313,660
314,530
315,668
316,991
317,845
318,496
319,956
320,245
321,841
322,940
323,799
324,655
325,973
326,123
327,417
328,295
329,296
330,616
331,783
332,471
333,799
334,555
335,453
336,718
337,298
338,80
339,76
340,613
341,626
342,351
343,474
344,288
345,810
346,196
347,952
348,591
349,246
350,679
351,410
352,118
353,152
354,461
355,344
356,234
357,736
358,476
359,389
360,10
361,280
362,991
